Model,Precision (Mean),Precision (Std Dev),Recall (Mean),Recall (Std Dev),F1-Score (Mean),F1-Score (Std Dev),ROC AUC (Mean),ROC AUC (Std Dev),Accuracy (Mean),Accuracy (Std Dev),MCC (Mean),MCC (Std Dev)
Random Forest (train),1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Random Forest (test),0.762,0.03187475490101848,0.7059999999999998,0.01200000000000001,0.732,0.018330302779823376,0.852,0.018330302779823376,0.78,0.02097617696340305,0.548,0.035440090293338694
SVM (train),0.968,0.0040000000000000036,0.9480000000000001,0.014696938456699055,0.9560000000000001,0.008000000000000007,0.9860000000000001,0.004898979485566361,0.9560000000000001,0.008000000000000007,0.9119999999999999,0.017204650534085233
SVM (test),0.6779999999999999,0.03867815921162743,0.7040000000000001,0.04223742416388575,0.692,0.0370944739819828,0.77,0.03521363372331805,0.732,0.033105890714493685,0.45600000000000007,0.06681317235396027
XGBoost (train),1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
XGBoost (test),0.726,0.025768197453450273,0.696,0.040792156108742275,0.71,0.03346640106136301,0.8319999999999999,0.01720465053408523,0.762,0.02638181191654586,0.504,0.05276362383309167
MLP (train),1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
MLP (test),0.724,0.030066592756745846,0.7579999999999999,0.04166533331199932,0.742,0.03487119154832542,0.8039999999999999,0.030066592756745798,0.7739999999999999,0.028705400188814675,0.54,0.05761944116355172
Stacking (train),1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Stacking (test),0.7740000000000001,0.025768197453450273,0.698,0.02561249694973137,0.736,0.021540659228538036,0.852,0.02039607805437116,0.784,0.016248076809271934,0.5559999999999999,0.033226495451672285
